Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Cellular Response To Cytokine Stimulus (GO:0071345)	72/308	2.73132828018752e-19	1.1113774772083e-15	0	0	4.05149887538255	173.178599764387	RIPOR2;PID1;CSF3R;CXCL8;ZFAND6;LRRK2;HNRNPU;AQP4;MT1X;GHR;MT2A;ZFP36;HYAL1;HYAL2;GPER1;ANKRD1;LEPR;CASP1;SIRPA;CTSG;HLA-DPA1;JAK1;PTGIS;MME;DUSP1;IL11RA;LIFR;IRAK3;NPNT;HCK;SFRP1;AIM2;IL1B;IRF1;KIT;HCLS1;IRF8;CD47;GAS6;IL6ST;GAPDH;TNFRSF21;CCL14;CCL13;ASAH1;CCL3L1;STK39;CXCR4;LILRA2;AIF1;ZFP36L2;RHEX;DUOX1;CCL5;CCL4;CCL3;CCL2;CCL18;SH2B3;GBP4;EGR1;CCL23;CCL21;IL37;STAT1;UBE2G2;IL6;CXCL12;AXL;MNDA;IL7R;CRLF1
Regulation Of Angiogenesis (GO:0045765)	55/205	6.96847117325022e-18	1.41773546019776e-14	0	0	4.83259312320917	190.912247680902	SEMA5A;SPARC;BTG1;CXCL8;HSPB6;PTPRM;TNFAIP3;ETS1;AQP1;CDH5;HHEX;HYAL1;ADAMTS1;CTSH;EMILIN2;CD34;HOXA5;PPP1R16B;SEMA6A;PTGIS;PRKCB;ANXA3;PSG1;VASH1;DCN;CLDN5;SFRP1;CEACAM1;IL1B;RHOJ;APLNR;PPARG;PRKD1;GRN;RAMP2;ECSCR;SEMA3E;GATA2;THBS2;RRAS;GPNMB;ALOX5;HMOX1;SASH1;JUP;STAT1;TNFSF12;VEGFC;VEGFD;SULF1;KLF4;IL6;RGCC;LEP;TEK
Regulation Of Cell Population Proliferation (GO:0042127)	118/766	2.98595688147251e-15	4.04995285023721e-12	0	0	2.44542385596399	81.7868490545715	CD86;VIPR1;TFRC;RTKN2;ADARB1;ETS1;IFIT3;CCND2;FTH1;JUNB;SOX7;SOX4;KRT6A;PDGFRA;IL11RA;IGFBP3;P3H2;MATK;LIFR;CLDN5;SFRP1;CLDN3;AGTR1;NUPR1;IL6ST;PLPP1;BEX4;NOTCH1;CCL3L1;CDCA7;FUT3;EFNB2;SDCBP;ADGRG1;GRK5;IGFBP7;IGFBP6;WNT2;TFAP2A;JUN;JUP;WNT3A;TNFRSF9;TNFSF13;HMGA1;SMAD6;BMP6;IL6;CDK6;RGCC;ID2;SCGB3A1;FGFR4;IL7R;ACVRL1;BTG2;CDKN1A;BTG1;BMPR2;CXCL8;RERG;HHEX;SIX4;ADAMTS1;GPER1;TSPO;EMILIN2;CTSH;TIMP1;ADAMTS8;CD33;IL10;EDN1;TSC22D1;TESC;GKN2;GAB2;AXIN2;TENT5B;ECRG4;NME1;TGFBR2;HCK;SAPCD2;CEACAM6;IL1B;ALDH1A2;IRF1;KIT;HCLS1;BIRC5;CDH13;CD47;SGK1;ENG;HBEGF;CCL14;KANK2;UHRF1;PLA2G1B;AIF1;DLL1;GPNMB;SERTAD1;EPCAM;PDPN;RPL17;SH2B3;CCL23;STAT1;CNBP;VEGFC;VEGFD;TBX3;MEIS1;PRC1;FOLR2;CRLF1
Inflammatory Response (GO:0006954)	52/236	3.30097298795943e-13	2.97154566109109e-10	0	0	3.70987040432607	106.61940846348	SERPINA3;NRROS;CXCL8;HP;ADM;CXCL2;ADGRE5;HYAL1;PROK2;OLR1;SLC11A1;PLA2G4C;CYBB;FOS;ELF3;IL1B;KIT;AGTR1;ADAM8;S100A9;CD44;MGLL;S100A8;CCL14;PTGER4;CCL13;CCL3L1;C5AR1;FPR1;CXCR4;FPR2;AIF1;AGER;IL1RL1;CCL5;CCL4;CCL3;NLRP3;CCL2;CD14;CCL18;AOC3;CCL23;PLA2G2D;CCL21;LYZ;SELE;IL6;ACKR1;IL17D;CDO1;FOLR2
Positive Regulation Of Angiogenesis (GO:0045766)	35/119	3.65144465604705e-13	2.97154566109109e-10	0	0	5.43343926553672	155.605459795093	SEMA5A;GRN;RAMP2;BTG1;CXCL8;HSPB6;GATA2;ETS1;DLL1;AQP1;CDH5;RRAS;HYAL1;MDK;HMOX1;CTSH;EMILIN2;CD34;SASH1;JAK1;PTGIS;JUP;PRKCB;ANXA3;TNFSF12;PSG1;VEGFC;VEGFD;KLF4;PKM;IL1B;APLNR;PRKD1;ITGA5;TEK
Positive Regulation Of Cell Motility (GO:2000147)	48/221	4.65001260208735e-12	3.15348354631557e-09	0	0	3.6340294744128	94.8269145204586	SEMA5A;GRN;RIPOR1;CD151;NOTCH1;FAM107A;CXCR4;NEDD9;SEMA3E;AIF1;VSIR;PPM1F;MYLK;DUOX1;CDH5;SDCBP;GPNMB;PODXL;MDK;GPER1;CCL5;SPOCK2;PDPN;CCL3;CTSH;PDGFRA;EDN1;CAVIN1;CCL21;F10;FZD4;CAV1;SEMA4B;RHOD;COL1A1;FGR;DAB2;CLDN3;CXCL12;CEACAM6;TMSB15A;IL1B;KIT;MYADM;PECAM1;CDH13;FERMT2;HBEGF
Regulation Of Cell Migration (GO:0030334)	73/434	1.08819847455422e-11	6.11387270549414e-09	0	0	2.6690172838712	67.376438694087	SEMA5A;ACVRL1;CLIC4;ROBO4;RIPOR1;CITED2;FAM107A;ARID4B;ADARB1;LDB2;VSIR;MYLK;ACTG1;CDH5;DACH1;CDH1;MDK;GPER1;ENPP2;EMILIN2;CTSH;PDGFRA;EDN1;LIMCH1;RHOD;FGR;CLDN5;SFRP1;CEACAM1;CLDN3;TMSB15A;CEACAM6;IL1B;KIT;PECAM1;MYADM;CDH13;SGK1;ENG;HBEGF;BEX4;MACF1;GRN;CD151;NOTCH1;CXCR4;NEDD9;SEMA3E;AIF1;PPM1F;CORO1C;FUT3;SDCBP;GPNMB;PODXL;CCL5;PDPN;CCL3;MGAT3;SLIT2;SASH1;NTNG1;CD74;F10;FZD4;SEMA4B;CAV1;SULF1;COL1A1;DAB2;CXCL12;RECK;FERMT2
Cellular Response To Type II Interferon (GO:0071346)	24/66	1.20203936210256e-11	6.11387270549414e-09	0	0	7.41095204725198	186.344064494339	CCL14;CCL13;CCL23;CCL3L1;CCL21;IFNGR1;STAT1;AQP4;AIF1;HCK;IRF1;CCL5;CCL4;CASP1;CCL3;SIRPA;IRF8;CCL2;CD47;CCL18;GAPDH;GBP4;HLA-DPA1;JAK1
Positive Regulation Of Cell Population Proliferation (GO:0008284)	76/483	1.10426977814657e-10	4.99252636364266e-08	0	0	2.46377842305115	56.4862265990267	CD86;CDKN1A;VIPR1;PID1;RTKN2;HNRNPU;AQP1;GJA1;CCND2;MDK;HYAL1;GPER1;CTSH;TIMP1;SOX4;KRT6A;PDGFRA;EDN1;PRKCH;TSC22D1;IL11RA;MATK;LIFR;GAB2;NME1;TGFBR2;TGFBR3;CLDN5;HCK;SFRP1;SAPCD2;CEACAM6;IL1B;HCLS1;BIRC5;CDH13;CD47;GAS6;IL6ST;HBEGF;CCL14;GRN;NOTCH1;PLA2G1B;C5AR1;AIF1;DLL1;EFNB2;SDCBP;SERTAD1;GRK5;EPCAM;CCL5;HMOX1;RPL17;WNT2;CD74;STAT1;WNT3A;CNBP;TNFSF13;VEGFC;VEGFD;TBX3;BMP6;TBX2;IL6;MEIS1;CDK6;PRC1;ID2;FOLR2;FGFR4;IL7R;NES;CRLF1
Positive Regulation Of Vasculature Development (GO:1904018)	29/104	1.5763763854562e-10	6.17419733309867e-08	0	0	5.02340365682138	113.381848154061	SEMA5A;GRN;RAMP2;BTG1;CXCL8;HSPB6;GATA2;ETS1;AQP1;CDH5;RRAS;HYAL1;HMOX1;CTSH;EMILIN2;CD34;SASH1;PTGIS;JUP;PRKCB;ANXA3;TNFSF12;PSG1;VEGFC;VEGFD;IL1B;APLNR;PRKD1;TEK
Positive Regulation Of MAPK Cascade (GO:0043410)	56/310	1.79177400329424e-10	6.17419733309867e-08	0	0	2.8914288939689	64.8913114513003	DDR1;WWC1;LRRK2;DUSP19;ARRB1;GHR;GLIPR2;GPER1;FFAR4;CCN2;CD36;PDGFRA;EDN1;NPNT;MTURN;IL1B;KIT;ADAM8;GAS6;CD44;AVPI1;CCL14;CCL13;NDRG4;RAMP3;NOTCH1;CCL3L1;PLA2G1B;C5AR1;FPR2;ADRB2;AGER;INAVA;GPNMB;CCL5;CCL4;PLCG2;CCL3;CCL2;ALKAL2;IGFBP6;CCL18;CD74;CCL23;CCL21;ANGPT1;CAV2;LAPTM5;MARCO;IL6;GPR183;LEP;ACKR3;TEK;FGFR4;FERMT2
Regulation Of ERK1 And ERK2 Cascade (GO:0070372)	48/244	1.82084954527363e-10	6.17419733309867e-08	0	0	3.20357251952812	71.8450720946618	DDR1;CCL14;CCL13;NDRG4;RAMP3;NOTCH1;CCL3L1;C5AR1;APIP;FBLN1;ARRB1;FPR2;AGER;RRAS;GPNMB;GLIPR2;GPER1;CCL5;CCL4;FFAR4;CCL3;TIMP3;SIRPA;CCL2;ALKAL2;CCN2;CD36;CCL18;CD74;PDGFRA;CCL23;SEMA6A;CCL21;ANGPT1;NPNT;MTURN;TGFBR3;MARCO;CEACAM1;GPR183;IL1B;ACKR3;SPRY1;TEK;GAS6;FGFR4;FERMT2;CD44
Negative Regulation Of Apoptotic Process (GO:0043066)	75/482	2.4868693445854e-10	7.7839010485523e-08	0	0	2.42959330895377	53.730034011647	TFRC;CITED2;ZFAND6;APIP;FHL2;IFIT3;AQP1;COMP;CCND2;SIX4;MDK;LAMP3;PDK4;FFAR4;PROK2;CTSH;IL10;PRKCH;TSC22D1;VSTM2L;TENT5B;MAPK8IP3;MMP9;HCK;RNF144B;SFRP1;CEACAM6;CEACAM5;CAT;HCLS1;BIRC5;ADAM8;ITGA5;NUPR1;GAS6;IL6ST;CRYAB;CD44;BIRC3;CX3CR1;GRN;NOTCH1;NDNF;SEMA3E;PIK3R1;DLL1;FOXO1;SOCS2;SOCS3;GRK5;PDPN;CCL2;SFN;MCL1;SNCA;TFAP2A;CD74;STIL;ANGPT1;WFS1;CAV1;KLF4;SMAD6;TBX3;HYPK;NR4A2;DAB2;IL6;HNRNPK;AXL;TEK;EVI2B;RETREG1;CRLF1;TPT1
Positive Regulation Of Cell Migration (GO:0030335)	51/272	2.98950000642746e-10	8.68876823296667e-08	0	0	3.0210989010989	66.2549489504607	SEMA5A;RIPOR1;BMPR2;FAM107A;VSIR;MYLK;CDH5;GLIPR2;HYAL1;MDK;GPER1;ENPP2;CTSH;PDGFRA;EDN1;SEMA6A;PRKCE;RHOD;FGR;CLDN3;CEACAM6;TMSB15A;IL1B;KIT;MYADM;PECAM1;CDH13;HBEGF;GRN;CD151;NOTCH1;CXCR4;NEDD9;SEMA3E;AIF1;PPM1F;SDCBP;GPNMB;PODXL;CCL5;PDPN;PLCG2;CCL3;F10;FZD4;CAV1;SEMA4B;COL1A1;DAB2;CXCL12;FERMT2
Negative Regulation Of Cell Population Proliferation (GO:0008285)	63/379	4.68579199829296e-10	1.27109917607027e-07	0	0	2.61891939955496	56.2578351446964	ACVRL1;CDKN1C;BTG2;CDKN1A;BTG1;BMPR2;CXCL8;TNFAIP3;ADARB1;ETS1;IFIT3;RERG;ADAMTS1;FTH1;GPER1;ADAMTS8;SOX7;SOX4;CD33;IL10;KRT4;TESC;IGFBP3;TINF2;P3H2;AXIN2;TENT5B;NME1;TGFBR3;SFRP1;CLDN3;IL1B;ALDH1A2;IRF1;CDH13;PPARG;ANG;NUPR1;PLPP1;KANK2;NDRG4;NOTCH1;CCL3L1;FBLN1;GATA2;AIF1;DLL1;ADGRG1;GPNMB;PDPN;HMOX1;IGFBP7;IGFBP6;SH2B3;TFAP2A;CCL23;HMGA1;SMAD6;TBX3;IL6;CDK6;RGCC;OGN
Negative Regulation Of Cellular Process (GO:0048523)	80/537	5.2802403193192e-10	1.34283111620686e-07	0	0	2.31005814408177	49.3471832919818	SEMA5A;ACVRL1;RIPOR2;BTG2;CDKN1A;BTG1;BMPR2;CXCL8;FHL1;WFDC1;ADARB1;ETS1;IFIT3;RERG;GJA1;SOX17;ADAMTS1;MDK;HYAL1;FTH1;HYAL2;GPER1;CCN5;DACT3;CCN2;ADAMTS8;SOX7;SOX4;CD33;IL10;DUSP1;TESC;IGFBP3;P3H2;AXIN2;TENT5B;NME1;SFRP1;CLDN3;IL1B;ALDH1A2;IRF1;CDH13;CHMP3;NUPR1;CRYAB;FBP1;TNFRSF21;PLPP1;CHMP5;KANK2;NOTCH1;CCL3L1;HPGD;NOTCH4;FBLN1;DLL1;ADGRG1;GPNMB;PODXL;ALOX5;PDPN;AGR3;LPXN;IGFBP7;IGFBP6;SLIT2;SH2B3;JAM2;TFAP2A;CCL23;ANGPT1;WFS1;SUSD2;HMGA1;SMAD6;IL6;CDK6;RGCC;SCGB3A1
Receptor Internalization (GO:0031623)	19/51	1.02823425326999e-09	2.38744152599014e-07	0	0	7.67770164106145	158.893281770929	CCL14;RAMP2;CXCL8;FCER1G;CALCRL;RAMP3;TFRC;CAV1;ADM;ARRB1;ENTREP1;CEACAM1;LMBRD1;SNX1;RAB31;DMBT1;CD9;CD36;SNCA
Regulation Of Inflammatory Response (GO:0050727)	46/240	1.05613043666312e-09	2.38744152599014e-07	0	0	3.09766298565506	64.0245248919259	PTGER4;GRN;TNFAIP3;RORA;FPR2;PTGS2;ETS1;AGER;CDH5;NLRP8;CAMK2N1;MDK;HYAL2;ALOX5;GPER1;CCL5;FFAR4;CASP1;CCL3;SIRPA;NLRP3;SLC39A8;SNCA;IL10;IL33;PTGIS;IL37;NKG7;KLF4;SELE;MMP9;HCK;IL6;AIM2;IL1B;AGTR1;PPARG;CD47;LCP1;TEK;SMPDL3B;DNASE1L3;S100A9;MGLL;S100A8;BIRC3
Positive Regulation Of Cellular Process (GO:0048522)	85/594	1.13665977135462e-09	2.43424663665365e-07	0	0	2.20539800429746	45.4205510077341	CD86;VIPR1;CITED2;RTKN2;HP;HBB;ZFP36;CDH3;CCND2;MDK;HYAL1;GPER1;CTSH;TIMP1;CCN2;SOX4;KRT6A;TGM2;PDGFRA;EDN1;TSC22D1;IL11RA;MATK;LIFR;GAB2;HBA1;AXIN2;RHOD;TGFBR2;CLDN5;HCK;SFRP1;SAPCD2;CEACAM6;IL1B;HCLS1;BIRC5;ADAM8;CD47;NUPR1;IL6ST;S100A9;S100A8;HBEGF;CCL14;GRN;NOTCH1;PLA2G1B;NEDD9;CST7;LILRA2;AIF1;DLL1;EFNB2;DUOX1;SDCBP;ADGRG1;SERTAD1;GRK5;EPCAM;CCL5;SPOCK2;RPL17;WNT2;EGR2;CCL21;CAVIN1;HBG2;HBG1;WNT3A;CNBP;CAV1;TNFSF13;VEGFC;VEGFD;TBX3;BMP6;IL6;MEIS1;CXCL12;PRC1;FOLR2;FGFR4;IL7R;CRLF1
Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)	38/179	1.53166345215485e-09	3.04502284194519e-07	0	0	3.51098462604087	71.2621441220547	DDR1;CCL14;CCL13;NDRG4;NOTCH1;RAMP3;CCL3L1;C5AR1;ARRB1;FPR2;AGER;GPNMB;GLIPR2;GPER1;CCL5;CCL4;FFAR4;CCL3;CCL2;ALKAL2;CCN2;CD36;CCL18;PDGFRA;CD74;CCL23;ANGPT1;CCL21;NPNT;MTURN;MARCO;GPR183;ACKR3;TEK;FGFR4;GAS6;FERMT2;CD44
Phagocytosis (GO:0006909)	22/69	1.57152813174856e-09	3.04502284194519e-07	0	0	6.060539285023	122.854509157296	SRPX;MSR1;ITGAM;GSN;CD93;ANXA3;SLC11A1;AIF1;ARHGAP25;SYT7;CORO1C;MARCO;TYROBP;AXL;ELMO1;PECAM1;CD36;CD302;CD14;GAS6;LDLR;TGM2
Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	60/364	1.6961592575244e-09	3.13712364493945e-07	0	0	2.58877558742291	52.2800625627292	PID1;BMPR2;CXCL8;TFRC;CITED2;ETS1;VSIR;ACTG2;ACTG1;CDH5;GJA1;CDH3;LAMP3;GPER1;CTSH;CD36;CD34;HOXA5;ANXA2;IFNGR1;SLC11A1;TESC;PSG1;CLDN5;OLFM1;CLDN3;TYROBP;IL1B;AGTR1;PPARG;ADTRP;GAS6;RAMP2;RAMP3;NOTCH1;UHRF1;GATA2;DLL1;PPM1F;PLCG2;CCL3;RPL17;SNCA;TFAP2A;EGR1;CD74;IL33;GSN;ANGPT1;IL37;WFS1;WNT3A;LAPTM5;KLF4;BMP6;KLF2;IL6;RGCC;ID2;FGFR4
Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)	26/96	2.75072606891732e-09	4.86639320627156e-07	0	0	4.81658145363409	94.9415681689342	ACVRL1;NRROS;HPGD;LRRC32;ZFP36L2;CDH5;CLEC3B;FNTA;HYAL2;ANKRD1;LPXN;WNT2;GDF10;JUN;FOS;SMAD6;TGFBR2;TGFBR3;CLDN5;SFRP1;COL3A1;COL1A2;ID1;ZYX;FERMT2;ENG
Response To Type II Interferon (GO:0034341)	23/80	6.40618516177365e-09	1.03860729125628e-06	0	0	5.22526905499042	98.5799358240885	CCL14;CCL13;CD74;CCL23;CCL3L1;CCL21;STAT1;SLC11A1;AQP4;AIF1;CCL5;CCL4;CASP1;CCL3;SIRPA;IRF8;CCL2;CD47;CCL18;GAPDH;GBP4;HLA-DPA1;SNCA
Regulation Of Endothelial Cell Proliferation (GO:0001936)	25/93	6.54040055882714e-09	1.03860729125628e-06	0	0	4.76471619503341	89.7923509035677	SEMA5A;BMPR2;SPARC;PTPRM;FUT2;ALOX5;ATOH8;PPP1R16B;EGFL7;ANGPT1;CAV2;STAT1;CAV1;TIE1;TNFSF12;VEGFC;VEGFD;VASH1;SULF1;RGCC;LEP;CDH13;ANG;PRKD1;TEK
Positive Regulation Of Protein Phosphorylation (GO:0001934)	60/377	6.63646831473659e-09	1.03860729125628e-06	0	0	2.48084236881076	46.7159634027465	ACVRL1;CDKN1A;BMPR2;TFRC;LRRK2;DUSP19;ARRB1;GHR;RASSF2;CCND2;GPER1;ENPP2;LEPR;LIMCH1;SH2D3C;AXIN2;MMP9;TGFBR2;CLDN3;IL1B;APLNR;PECAM1;HCLS1;BIRC5;PPARG;PRKD1;ADTRP;ITGA5;GAS6;CD44;ENG;CX3CR1;RAMP3;FAXDC2;ITLN1;FPR2;AGER;AURKB;C3;SDCBP;GPNMB;PLCG2;PROM2;SNCA;GDF10;CD74;PRNP;CCL21;ANGPT1;WNT3A;CAV1;RARRES2;VEGFC;VEGFD;BMP6;MARCO;DAB2;IL6;LEP;TEK
Positive Regulation Of Phosphorylation (GO:0042327)	43/231	9.16963092369942e-09	1.37598845149604e-06	0	0	2.9826636544971	55.2012562593028	DDR1;CDKN1A;TFRC;FAXDC2;LRRK2;ITLN1;ARRB1;FPR2;AGER;AURKB;C3;SDCBP;CCND2;GPNMB;GPER1;CCL5;LEPR;PROM2;CD74;PDGFRA;ANGPT1;LIMCH1;WNT3A;RARRES2;TIE1;VEGFC;VEGFD;AXIN2;MMP9;MARCO;DAB2;CLDN3;AXL;IL1B;LEP;PECAM1;BIRC5;ANG;ADTRP;TEK;GAS6;FGFR4;ENG
Regulation Of Protein Phosphorylation (GO:0001932)	47/265	9.46858605109094e-09	1.37598845149604e-06	0	0	2.81488342612196	52.0057770555151	CDKN1A;PID1;TFRC;FAXDC2;LRRK2;ITLN1;FBLN1;ARRB1;FPR2;AGER;AURKB;CORO1C;C3;CDH5;CCND2;GPNMB;GPER1;LEPR;SIRPA;ROPN1L;SLIT2;PROM2;CD74;PRNP;ANGPT1;LIMCH1;WNT3A;IGFBP3;RARRES2;VEGFC;VEGFD;AXIN2;MMP9;FGR;MARCO;DAB2;CLDN3;IL1B;LEP;MYADM;PECAM1;BIRC5;ADTRP;TEK;PLPP3;GAS6;ENG
Cytokine-Mediated Signaling Pathway (GO:0019221)	46/257	1.01199836865456e-08	1.40742774001511e-06	0	0	2.84545040562649	52.3811959248619	CCL14;CCL13;SPI1;CSF3R;CXCL8;CCL3L1;LILRA2;CXCL2;TXNDC17;RHEX;OASL;GHR;DUOX1;IL1RL1;CCL5;CCL4;LEPR;CCL3;CCL2;CTSG;CCL18;CD300LF;JAK1;EGR1;IL33;CCL23;FCER1G;CCL21;IL37;STAT1;IL11RA;LIFR;IRAK3;HCK;CEACAM1;IL6;CXCL12;AIM2;IL1B;LEP;KIT;IL6ST;IL7R;CRLF1;IL18R1;BIRC3
Positive Regulation Of Cell Differentiation (GO:0045597)	49/283	1.03767098059605e-08	1.40742774001511e-06	0	0	2.73551519806869	50.2888961735415	ACVRL1;RIPOR2;BTG1;BMPR2;ADIRF;TMEM100;GJA1;ZFP36;GLIPR2;MDK;FFAR4;CCN2;CD36;CD34;HOXA5;SOX4;PRKCH;IGFBP3;AXIN2;NPNT;TGFBR2;OLFM1;SFRP1;CEACAM1;PCP4;CREB1;IL1B;AGTR1;PPARG;ADAM8;PRKD1;LCP1;IL6ST;NBL1;SDCBP;BLOC1S6;RRAS;PDPN;MSR1;RARRES2;ZBTB16;TMEM64;BMP6;COL1A1;DAB2;IL6;RGCC;ID2;FERMT2
Extracellular Matrix Organization (GO:0030198)	36/176	1.15913786045161e-08	1.52146192070245e-06	0	0	3.34540131246845	61.1305323635924	COL17A1;ECM2;COL13A1;COL11A1;DPT;NDNF;ADAMTS1;ADAMTSL4;SPOCK2;MMP28;COL10A1;SLC39A8;CTSG;ADAMTS8;TPSAB1;GPM6B;CRTAP;GSN;LUM;P3H4;NPNT;MMP9;COL1A1;MMP12;MMP11;COL3A1;COL1A2;MMP23B;COL5A2;ST7;COL4A5;ADAM8;LCP1;GAS6;RECK;MATN2
Cellular Response To Oxygen-Containing Compound (GO:1901701)	62/406	1.85396995024199e-08	2.2989744852177e-06	0	0	2.3622273008857	42.0555629251499	CD86;CLIC4;PID1;CXCL8;NCF1;AQP9;TNFAIP3;RORA;CXCL2;AQP1;ZFP36;CDH1;GPER1;PDK4;ANKRD1;CASP1;PDE4B;SIRPA;CTSG;TGM2;IL10;PDGFRA;TESC;GPBAR1;FOS;SSTR2;MMP9;SFRP1;CREB1;IL1B;ITPKA;PRKD1;LCP1;CHMP5;CX3CR1;RAMP3;INSIG1;RASGRP2;FOXO1;PLCG2;CCL2;NLRP3;CD14;SLIT2;WNT2;EGR1;JUN;AOC1;FZD4;IL37;WNT3A;NEK7;SYT15;DEFA1;SYT7;IL6;SYT11;AXL;ALOX5AP;VIM;CD68;FOLR1
Cellular Response To Lipid (GO:0071396)	42/228	1.8644914724056e-08	2.2989744852177e-06	0	0	2.9428558346116	52.3760429131014	CD86;CX3CR1;PID1;RAMP3;CXCL8;INSIG1;TNFAIP3;RORA;CXCL2;AQP1;ZFP36;GPER1;PDK4;PLCG2;ANKRD1;SPP1;CASP1;PDE4B;SIRPA;NLRP3;CCL2;CTSG;CD14;WNT2;IL10;FZD4;IL37;WNT3A;TESC;GPBAR1;DEFA1;SSTR2;SFRP1;IL6;CREB1;AXL;IL1B;ADTRP;LCP1;VIM;CD68;CHMP5
Cellular Response To Tumor Necrosis Factor (GO:0071356)	28/119	2.05864375537485e-08	2.46371218841773e-06	0	0	3.99113465592735	70.6376289223425	CCL14;CCL13;ASAH1;PID1;CXCL8;CCL3L1;ZFAND6;LRRK2;ZFP36L2;TXNDC17;ZFP36;HYAL1;GPER1;HYAL2;CCL5;CCL4;ANKRD1;CCL3;CCL2;CCL18;CCL23;CCL21;STAT1;NPNT;SFRP1;AIM2;TNFRSF21;BIRC3
Positive Regulation Of Phagocytosis (GO:0050766)	19/60	2.30892841118226e-08	2.68429420145732e-06	0	0	5.98943997819866	105.317696971898	FCN1;FCN3;FCER1G;SLC11A1;SFTPD;ANO6;FPR2;GATA2;C2;C3;RAB31;IL1B;PLCG2;SIRPA;CCL2;CD47;DOCK2;GAS6;CD300LF
Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	74/525	2.61380086661992e-08	2.95432103507679e-06	0	0	2.1565117136614	37.652425627705	SEMA5A;DDR1;CD86;BMPR2;TFRC;NCF1;WWC1;RTKN2;DUSP19;GJA1;GPER1;FFAR4;CASP1;TRIM22;WLS;TGM2;PDGFRA;VWF;PRKCB;TNFRSF19;DCN;FGR;IL1B;KIT;TRIM13;HCLS1;CDH13;PPARG;ADAM8;S100A4;PRKD1;NUPR1;GAS6;HCST;S100A9;GAPDH;S100A8;ENG;HBEGF;BIRC3;AVPI1;CX3CR1;RAMP3;SEMA3E;ADRB2;ATP2C1;AGER;INAVA;CCL5;CCL4;PLCG2;CCL3;HMOX1;NLRP3;IGFBP6;RPL17;SASH1;CD74;CCL21;F10;ANGPT1;TNFSF14;CAV2;CAV1;LAPTM5;SEPTIN4;BMP6;SELP;DAB2;IL6;AXL;LEP;TEK;FERMT2
Receptor-Mediated Endocytosis (GO:0006898)	28/122	3.66619316612656e-08	4.03182161972135e-06	0	0	3.86313003693127	66.1426848635647	RAMP2;CALCRL;CXCL8;ITGAM;RAMP3;TFRC;ADM;ADRB2;DLL1;SNX1;CTSL;CD36;LDLR;SNCA;MSR1;FCER1G;CAV2;CAV1;SFTPD;ENTREP1;MARCO;DAB2;LMBRD1;RAB31;CANX;ACKR3;CD9;FOLR1
Response To Tumor Necrosis Factor (GO:0034612)	26/108	3.96156133133045e-08	4.24199817294305e-06	0	0	4.10904578519469	70.0347510827875	CCL14;CCL13;ASAH1;PID1;CXCL8;CCL3L1;ZFAND6;LRRK2;AFF3;ZFP36L2;ZFP36;HYAL1;GPER1;HYAL2;CCL5;CCL4;ANKRD1;CCL3;CCL2;CCL18;CCL23;CCL21;NPNT;SELE;SFRP1;TNFRSF21
Cellular Response To Lipopolysaccharide (GO:0071222)	28/124	5.32148915068417e-08	5.55208701388048e-06	0	0	3.78223822909346	63.3484341297318	CD86;CX3CR1;CXCL8;TNFAIP3;CXCL2;ZFP36;CCL5;PLCG2;ANKRD1;CASP1;PDE4B;CCL3;SIRPA;NLRP3;CCL2;CTSG;CD14;IL10;IL37;PRKCE;DEFA1;HCK;IL6;AXL;IL1B;VIM;CD68;CHMP5
Positive Regulation Of Response To External Stimulus (GO:0032103)	32/155	5.90682626432059e-08	6.00871901738012e-06	0	0	3.3782636346448	56.2297525311765	PTGER4;GRN;FPR2;ETS1;AIF1;PPM1F;THBD;MDK;CAMK2N1;HYAL2;CCL5;CASP1;CCL3;NLRP3;EMILIN2;SASH1;SNCA;IL33;CCL21;RARRES2;LY86;NKG7;BMP6;AIM2;IL1B;AGTR1;TLR8;ADAM8;CD47;LCP1;S100A9;S100A8
Response To Interleukin-1 (GO:0070555)	22/85	1.09409758504882e-07	1.068634124547e-05	0	0	4.51744476657003	72.4063534882582	CCL14;CCL13;CCL23;CXCL8;PTGIS;CCL3L1;CCL21;IRAK3;SELE;SFRP1;HYAL1;HYAL2;IL1B;CCL5;CCL4;ANKRD1;CCL3;SIRPA;CCL2;CD47;CCL18;SNCA
Response To Lipopolysaccharide (GO:0032496)	32/159	1.10303841806277e-07	1.068634124547e-05	0	0	3.27115135977982	52.4039333689841	CD86;CX3CR1;CXCL8;TNFAIP3;CXCL2;ZFP36;ANKRD1;CASP1;PDE4B;SIRPA;NLRP3;CCL2;CTSG;CD14;SNCA;IL10;IL37;SLC11A1;IRAK3;DEFA1;SMAD6;SELE;SELP;IL6;SLPI;AXL;IL1B;VIM;CD68;S100A9;S100A8;CHMP5
