Gene	adj.P.Val	logFC	Regulation
ILMN_1657435	6.73866838038938e-20	-3.11078153564565	Downregulated
ILMN_2218208	6.91968908376895e-20	-2.61939053212774	Downregulated
ILMN_1751228	7.10648720095477e-20	-1.90965476631959	Downregulated
ILMN_1720771	7.23608913620166e-20	-2.5386661625996	Downregulated
ILMN_1698259	7.96335430700468e-20	-3.21257412789901	Downregulated
ILMN_1711617	8.65959510217088e-20	-1.85231635079907	Downregulated
ILMN_1676897	8.74704097701272e-20	-1.99167576411069	Downregulated
ILMN_1769383	8.95606246496479e-20	-1.97676881550457	Downregulated
ILMN_1719577	1.08803302772595e-19	-1.48812023280942	Downregulated
ILMN_1795166	1.13061067631562e-19	-1.51840908717308	Downregulated
ILMN_1809842	1.26017405423546e-19	-2.82787186347841	Downregulated
ILMN_1812902	1.5304173106865e-19	-2.16061458209972	Downregulated
ILMN_2234187	1.57248944967156e-19	-1.79610869444977	Downregulated
ILMN_1679391	1.73045032146378e-19	-2.83504056931178	Downregulated
ILMN_1795251	1.83909452087095e-19	-2.70865930838361	Downregulated
ILMN_1662419	1.93046076498977e-19	-2.35233633196971	Downregulated
ILMN_1709590	1.94725827923659e-19	-2.41767828584215	Downregulated
ILMN_1754894	2.27613539650008e-19	-2.33422961314491	Downregulated
ILMN_1809490	2.32017766622164e-19	-1.94290591890354	Downregulated
ILMN_1696284	2.46191176971278e-19	-4.82456252010927	Downregulated
ILMN_1719236	3.02750183770733e-19	-2.5269520488944	Downregulated
ILMN_2329429	3.11430149532926e-19	-2.38244426251913	Downregulated
ILMN_2179717	3.12475048545315e-19	-2.02964041163723	Downregulated
ILMN_2410713	3.16509513031107e-19	-1.86451659120693	Downregulated
ILMN_1680996	3.25036602267433e-19	-2.37162077668942	Downregulated
ILMN_1719351	3.90321565806637e-19	-1.62411087587941	Downregulated
ILMN_1766551	4.07105279103398e-19	-2.8642849625266	Downregulated
ILMN_1729216	4.67444603658706e-19	-2.37219249948792	Downregulated
ILMN_1753830	5.17080409227743e-19	1.93754593365275	Upregulated
ILMN_1673566	5.28700377977731e-19	-2.23836832572085	Downregulated
ILMN_1708107	5.28700377977731e-19	-2.14212349268001	Downregulated
ILMN_1755588	5.62882842628962e-19	-1.73474029561072	Downregulated
ILMN_1760990	5.93818261571737e-19	-1.47039439252234	Downregulated
ILMN_2051972	6.57403958744386e-19	-2.50142930411568	Downregulated
ILMN_1713529	7.31626985432217e-19	-2.32680065432994	Downregulated
ILMN_2331082	7.63501521006415e-19	-2.49880740634532	Downregulated
ILMN_1761968	7.75447455301787e-19	-2.08003221074921	Downregulated
ILMN_1744211	8.03707062145184e-19	-2.02218659760789	Downregulated
ILMN_2107613	8.09759436155408e-19	-1.47666160346124	Downregulated
ILMN_1779071	1.03234703484676e-18	-2.32923724162555	Downregulated
ILMN_2271149	1.05516586740685e-18	-1.96127124645274	Downregulated
ILMN_1714253	1.10402407964294e-18	-2.39294272158334	Downregulated
ILMN_2142185	1.16701274865099e-18	-2.45588761407309	Downregulated
ILMN_1689518	1.16701274865099e-18	-2.3746717766261	Downregulated
ILMN_1688580	1.21243940322199e-18	-2.16945543226299	Downregulated
ILMN_2096719	1.22482048444142e-18	-2.14192980525159	Downregulated
ILMN_1677038	1.25855982890004e-18	-1.87285084871324	Downregulated
ILMN_1776151	1.27012585607619e-18	-1.7479180405627	Downregulated
ILMN_1746888	1.27068597028462e-18	-2.62939821135225	Downregulated
ILMN_2065745	1.27241789490368e-18	-2.42789043629995	Downregulated
ILMN_1672102	1.28011958806254e-18	-1.90829293613043	Downregulated
ILMN_2148944	1.34656567354036e-18	-1.51176914250879	Downregulated
ILMN_1672536	1.35966834630905e-18	-2.09895434971468	Downregulated
ILMN_1689160	1.45398164631338e-18	-1.90554831704553	Downregulated
ILMN_2368318	1.45398164631338e-18	-2.2202795107623	Downregulated
ILMN_1781388	1.48023863368024e-18	-2.35817075167402	Downregulated
ILMN_2092118	1.59837501533727e-18	-2.47451940213252	Downregulated
ILMN_1684982	1.59865162333372e-18	-2.30732803878782	Downregulated
ILMN_2112357	1.70240630752799e-18	-1.74996698590127	Downregulated
ILMN_1715068	1.73257105216943e-18	-2.0401858856821	Downregulated
ILMN_2089752	1.95085192824142e-18	-2.04306219367652	Downregulated
ILMN_2341661	1.96932937891806e-18	1.70911812943074	Upregulated
