Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
ABC transporters	8/45	0.014583323554198	0.0549125146176591	0	0	2.77380082785488	11.7272876836476	ABCC3;ABCB1;ABCA6;ABCA3;ABCA4;ABCA9;ABCA8;ABCG1
Prion disease	30/273	0.0151355517242172	0.0562968692181251	0	0	1.59042927515834	6.66502609220746	C1QB;C1QA;NOTCH1;NCF1;NCF2;NCF4;COX4I2;PIK3R1;C8B;COX7A1;TUBA1B;TUBB6;C6;PPP3CC;TUBA1A;C7;TUBB3;CCL5;RAC2;EGR1;PRNP;ATP5PB;CAV2;CAV1;CYBB;TUBB2B;IL6;CREB1;IL1B;C1QC
Pyruvate metabolism	8/47	0.0187294087343813	0.0688249357106784	0	0	2.63127032357802	10.4662995858736	PC;PKM;ALDH2;ADH1B;ADH1A;ACACB;ADH5;ACAT1
Metabolism of xenobiotics by cytochrome P450	11/76	0.0207567705967495	0.0737829348149327	0	0	2.17226495726496	8.41727210193722	HSD11B1;ALDH3B2;GSTM3;GSTA4;GSTO1;ADH1B;ADH1A;GSTA2;CYP2F1;ADH5;GSTM5
Legionellosis	9/57	0.0207593436410719	0.0737829348149327	0	0	2.40564320388349	9.32128726460762	C3;IL6;CXCL8;ITGAM;IL1B;EEF1A2;CASP1;CD14;CXCL2
Yersinia infection	17/137	0.0208043685051941	0.0737829348149327	0	0	1.82062412831241	7.05053496236108	IL10;JUN;CXCL8;ARPC1B;PIK3R1;FOS;ACTG1;IL6;FCGR2A;GNAQ;IL1B;ELMO1;CASP1;RAC2;NLRP3;CCL2;ITGA5
Epstein-Barr virus infection	23/202	0.0211536481098842	0.0741593410748813	0	0	1.65293491698355	6.37362265879102	JUN;CDKN1A;HLA-DRB4;GADD45B;STAT1;TNFAIP3;PIK3R1;HLA-E;IL6;CCND2;CDK6;BTK;PLCG2;HLA-DPB1;HLA-DRA;CD247;VIM;HLA-DRB3;HLA-DQA1;CD44;HLA-DPA1;JAK1;HLA-DQB1
Diabetic cardiomyopathy	23/203	0.0222778433413971	0.0772129797627967	0	0	1.64366246498599	6.2527593857433	NCF1;PRKCB;ATP5PB;NCF2;NCF4;GFPT1;COX4I2;SLC2A1;CYBB;ATP2A2;PIK3R1;AGER;COX7A1;MMP9;TGFBR2;COL1A1;COL3A1;COL1A2;PDK4;AGTR1;RAC2;CD36;GAPDH
Arrhythmogenic right ventricular cardiomyopathy	11/77	0.0226834322512929	0.0777353577151049	0	0	2.13923611111111	8.0994056470011	DSP;GJA1;DES;SGCA;JUP;ITGB4;ATP2A2;CACNA2D2;ITGA5;SGCG;ACTG1
Axon guidance	21/182	0.0234541345491345	0.0794834559720671	0	0	1.67722712070538	6.29414444921508	SEMA5A;NTNG1;SEMA6A;BMPR2;SEMA4B;NTN4;CXCR4;SEMA3E;PIK3R1;RHOD;EFNB2;ABLIM1;CXCL12;PPP3CC;RRAS;DPYSL2;PLCG2;RAC2;SLIT3;SLIT2;MYL9
Choline metabolism in cancer	13/98	0.0246589124481358	0.0817496553987111	0	0	1.96377321443181	7.27109986025596	PDGFRA;JUN;PLA2G4F;PRKCB;PLA2G4C;PIK3R1;FOS;RAC2;CHPT1;PLPP3;PLPP2;PLPP1;WASF3
Inflammatory mediator regulation of TRP channels	13/98	0.0246589124481358	0.0817496553987111	0	0	1.96377321443181	7.27109986025596	PTGER4;PLA2G4F;PRKCH;PRKCB;PRKCE;PLA2G4C;TRPV2;ADCY4;PIK3R1;HRH1;GNAQ;IL1B;PLCG2
