Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Syndecan Interactions R-HSA-3000170	1/20	0.778441129272065	0.999995343838681	0	0	0.672595281306715	0.168459499676783	ITGB4
TCF Dependent Signaling In Response To WNT R-HSA-201681	12/198	0.780668509571013	0.999995343838681	0	0	0.823286780694479	0.20384964573404	SFRP1;SOX17;H2BC5;UBB;FZD4;WIF1;WNT3A;CAV1;AXIN2;SOX7;SOX4;H3-3B
RAB GEFs Exchange GTP For GDP On RABs R-HSA-8876198	5/89	0.782556191246272	0.999995343838681	0	0	0.760101758545742	0.186369007559415	RAB32;RAB31;DENND2A;DENND3;RAB8B
SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671	7/121	0.78332213309789	0.999995343838681	0	0	0.783915293774603	0.191440940675209	STAT1;CNBP;SFTPD;NLRP3;TLR8;HLA-E;JAK1
APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419	4/73	0.785286850923104	0.999995343838681	0	0	0.740362368919203	0.178950184260691	CDC20;UBB;UBE2C;NEK2
Cellular Response To Hypoxia R-HSA-1234174	4/73	0.785286850923104	0.999995343838681	0	0	0.740362368919203	0.178950184260691	UBB;CITED2;EPAS1;CA9
Ovarian Tumor Domain Proteases R-HSA-5689896	2/39	0.785571638542821	0.999995343838681	0	0	0.690578777535299	0.166666784996883	UBB;TNFAIP3
Signaling By FGFR3 R-HSA-5654741	2/39	0.785571638542821	0.999995343838681	0	0	0.690578777535299	0.166666784996883	UBB;PIK3R1
Transcriptional Regulation By VENTX R-HSA-8853884	2/39	0.785571638542821	0.999995343838681	0	0	0.690578777535299	0.166666784996883	IL6;UBE2C
Resolution Of Sister Chromatid Cohesion R-HSA-2500257	6/106	0.789779362135205	0.999995343838681	0	0	0.766048442906574	0.180788704906215	CDC20;CCNB2;CENPF;CDCA5;BIRC5;AURKB
Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138	6/106	0.789779362135205	0.999995343838681	0	0	0.766048442906574	0.180788704906215	JUN;CREB1;UBB;MAP3K8;FOS;AGER
Rab Regulation Of Trafficking R-HSA-9007101	7/122	0.790370545046145	0.999995343838681	0	0	0.777056485607612	0.182805179551926	RAB32;GABARAPL2;TBC1D2;RAB31;DENND2A;DENND3;RAB8B
